,Nationality,Title,Artist,BeginDate,EndDate,Gender,Date,Department
3108,American,Black Curvy Brushstrokes,Sol LeWitt,1928.0,2007.0,Male,1997,Prints & Illustrated Books
3109,German,Untitled from Aquarellen (Watercolors),Thomas Schütte,1954.0,,Male,1987,Drawings
3110,American,Drawing Restraint 5,Matthew Barney,1967.0,,Male,1989,Painting & Sculpture
3111,French,Saint-Cloud,Eugène Atget,1857.0,1927.0,Male,1915,Photography
3112,American,"Lincoln Street and Riverside Street, Spokane, Washington, August 25, 1974",Stephen Shore,1947.0,,Male,1974,Photography
3113,American,Martha's Vineyard,Aaron Siskind,1903.0,1991.0,Male,1954,Photography
3114,French,Colored Rhythm: Study for the Film,Léopold Survage,1879.0,1968.0,Male,1913,Drawings
3115,French,"Tailpiece (page 22) from LIVRET DE FOLASTRIES, À JANOT PARISIEN",Aristide Maillol,1861.0,1944.0,Male,1934,Prints & Illustrated Books
3116,British,Untitled (Parade Robot) from The Conditional Probability Machine,Eduardo Paolozzi,1924.0,2005.0,Male,1970,Prints & Illustrated Books
3117,German,Berlin West,Michael Schmidt,1945.0,2014.0,Male,1982,Photography
3118,French,Headpiece (page 200) from L'IMITATION DE JÉSUS-CHRIST,Maurice Denis,1870.0,1943.0,Male,1898,Prints & Illustrated Books
3119,Israeli,Plate (folio 4 verso or 15) from EX ADVERSO,William Brui,1946.0,,Male,1968,Prints & Illustrated Books
3120,American,Guy's Song,Charles Harbutt,1935.0,2015.0,Male,1970,Film
3121,American,"Johnson Wax Research Tower, Racine, Wisconsin, Tension ring study model for the reception skylight",Frank Lloyd Wright,1867.0,1959.0,Male,1946,Architecture & Design
3122,American,The Flying Dutchman,Jimmy Ernst,1920.0,1984.0,Male,1942,Painting & Sculpture
3123,American,Spray Painted Robe,Jim Dine,1935.0,,Male,1977,Prints & Illustrated Books
3124,American,Firedogs,George Nelson,1908.0,1986.0,Male,1951,Architecture & Design
3125,Mexican,The Crouched Ones,Manuel Álvarez Bravo,1902.0,2002.0,Male,1934,Photography
3126,British,Headpiece (page 7) from FABLES,Thomas Bewick,1753.0,1828.0,Male,1818,Prints & Illustrated Books
3127,British,Cancellation proof for The Blue Guitar from The Blue Guitar,David Hockney,1937.0,,Male,1977,Prints & Illustrated Books
3128,Argentine,Untitled from Portfolio (Manifesto),Nicolas Garcia Uriburu,1937.0,2016.0,Male,1973,Prints & Illustrated Books
3129,American,"Pamphlet for the publication ""The Avant-garde in Print"" by Ex Libris",Elaine Lustig Cohen,1927.0,2016.0,Female,1981,Architecture & Design
3130,Argentine,Buenos Aires,Horacio Coppola,1906.0,2012.0,Male,1931,Photography
3131,Japanese,"The Oratory of the Main Hall, The Muro-ji",Ken Domon,1909.0,1990.0,Male,1947,Photography
3132,French,Mystery Food,Ben Vautier,1935.0,,Male,1963,Prints & Illustrated Books
3133,American,Where to Go,Richard Artschwager,1923.0,2013.0,Male,1967,Drawings
3134,American,Tina Turning,Richard Serra,1938.0,,Male,1969,Film
3135,German,Blind Men,August Sander,1876.0,1964.0,Male,1921,Photography
3136,American,Your Name Spelled with Objects: Ken Friedman,George Maciunas,1931.0,1978.0,Male,1976,Prints & Illustrated Books
3137,Austrian,Bowl,Walter Zeischegg,1917.0,1983.0,Male,1967,Architecture & Design
3138,American,"Green Man. Set design for Der Blaue Vogel Cabaret Theater, Berlin",Pavel Tchelitchew,1898.0,1957.0,Male,1922,Drawings
3139,German,Low Tide Wandering No. 26 (Wattwanderung No. 26) from Low Tide Wandering (Wattwanderung),Thomas Schütte,1954.0,,Male,2001,Prints & Illustrated Books
3140,American,Untitled,Marvin Israel,1924.0,1984.0,Male,1964,Drawings
3141,British,"THE THEATER OF MARCELLUS, FROM THE PIAZZA MONTANARA, ROME",Robert Macpherson,1811.0,1872.0,Male,1855,Photography
3142,,Untitled,Unknown,,,Gender Unknown,1925,Photography
3143,,Untitled from Kartinki-Voina russkikh s nemtsami (Russia's War with the Germans in Pictures),Unknown,,,Gender Unknown,1914,Prints & Illustrated Books
3144,,The Story of my Life and Friends as Told by Snapshots from Fourteen On,Unknown,,,Gender Unknown,1920,Photography
3145,Argentine,Alberto Greco in Piedralaves,Alberto Greco,1931.0,1965.0,Male,1983,Media and Performance Art
3146,Brazilian,Untitled,Paulo Monteiro,1961.0,,Male,1992,Drawings
3147,Russian,Revoliutsiia i front,Iurii Annenkov,1889.0,1974.0,Male,1921,Prints & Illustrated Books
3148,Italian,Mr. Mouse Takes a Trip,Clyde Geronimi,1901.0,1989.0,Male,1940,Film
3149,French,Signal Rocket,Takis,1925.0,,Male,1955,Painting & Sculpture
3150,American,Letter to Kinmont from Janis Ekdahl,Ben Kinmont,1963.0,,Male,1998,Prints & Illustrated Books
3151,Japanese,Untitled,Yutaka Matsuzawa,1922.0,2006.0,Male,1962,Prints & Illustrated Books
3152,German,Bauhaus Staircase,Katharina Gaenssler,1974.0,,Female,2015,Photography
3153,American,Untitled (11-L),Donald Judd,1928.0,1994.0,Male,1965,Prints & Illustrated Books
3154,Japanese,Spatial Poem No. 4,Mieko Shiomi,1938.0,,Female,1973,Fluxus Collection
3155,French,"The Meal (plate, facing page 146) from Cuisine: Recueil de 117 Recettes",Édouard Vuillard,1868.0,1940.0,Male,1935,Prints & Illustrated Books
3156,Italian,Endless Dialogue,Laura Grisi,1939.0,2017.0,Female,1978,Drawings
3157,French,IMPASSE CHARTIÈRE,Eugène Atget,1857.0,1927.0,Male,1925,Photography
3158,French,Temple of Wady Kardassy,Maxime Du Camp,1822.0,1894.0,Male,1850,Photography
3159,Argentine,Study for Proyecto Prototipo Multiple,Luis Fernando Benedit,1937.0,2011.0,Male,1971,Drawings
3160,Italian,Quattro Quarti Furniture Units,Rodolfo Bonetto,1929.0,1991.0,Male,1969,Architecture & Design
3161,American,"Untitled, no. 40 of 69, from the illustrated book, Album",Louise Bourgeois,1911.0,2010.0,Female,1994,Prints & Illustrated Books
3162,French,Headpiece and pictorial initial J (page 159) from DINGO,Pierre Bonnard,1867.0,1947.0,Male,1924,Prints & Illustrated Books
3163,American,Tumbler,Earl S. Tupper,1907.0,1983.0,Male,1945,Architecture & Design
3164,American,Turning Some Pages,Lawrence Weiner,1942.0,,Male,2007,Media and Performance Art
3165,American,Broken Spaces #5,Jack Whitten,1939.0,2018.0,Male,1974,Drawings
3166,Spanish,Équation,Antoni Tàpies,1923.0,2012.0,Male,1987,Prints & Illustrated Books
3167,American,"IIT Metallurgy and Chemical Engineering Building, Chicago, Illinois, Perspective sketch showing I-beam mullions for the symetrical corner of brick base at classroom end",Ludwig Mies van der Rohe,1886.0,1969.0,Male,1944,Architecture & Design
3168,German,Bacchanal (Bacchantenzug),Lovis Corinth,1858.0,1925.0,Male,1895,Prints & Illustrated Books
3169,Czech,Missing Room,Ján Mančuška,1972.0,2011.0,Male,2008,Painting & Sculpture
3170,Dutch,Architecture Panoramas,Jan Dibbets,1941.0,,Male,1971,Photography
